Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,Twitter,Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
30,"""Consensus Sales, Inc.""",DemoChimp see CONSENSUS,"Rebranding,Active",https://www.goconsensus.com,,,,,,,,,20 January 2023
,Demodesk GmbH,"Demodesk demodesk.com @demodesk customer meeting platform for sales & success teams / revenue teams. Provides real-time sales coaching, increase sales efficiency, & engage customers at scale. 100% online. Win more deals, faster: Intelligent customer meeting platform that helps you increase sales velocity & drive more revenue. Automates non-selling tasks & enables sellers in real-time. Drive revenue, cut down on ramp time, increase quota attainment, & boost sales productivity. Integrates with your CRM, calendar, & the rest of your sales stack to help you automate manual tasks & scale your process. Playbooks & Battlecards: Your real-time sales assistant. Automatically load the perfect playbook into every meeting: Slides, web apps, talk tracks & battle cards on the spot. Automatically load the perfect slides, websites & speaker notes into every customer meeting. Handle objections in real-time: Easily navigate sales objections & answer critical questions with battle cards. Instantly have all the content & guidance you need available during every customer call. Personalize pitches without the effort: Automatically customize every pitch with dynamic tokens – personalize content & recall the right data into all your meetings. Ensure that everyone can quickly access the most up-to-date sales content. Always know your team has a unified sales narrative with team playbooks. The right content at the right time: Manage & sync your sales collateral with the tools you use to automate meeting prep & to start every meeting with all the right content. Demodesk GmbH, Munich, Germany. Demodesk Inc, San Francisco, CA, USA. London, UK",Active,https://demodesk.com,"Germany,USA",SaaS,,https://twitter.com/demodesk,https://www.crunchbase.com/organization/demodesk,,B2B,,1 May 2023
,"""Naro Technologies, Inc.""","Demoflow demoflow.io @thedemoflow (“Complete demo enablement platform to streamline prep, presentation, follow-up, & documentation across the sales org.”) was acquired by Naro narohq.com in July 2023! Legal Name: Naro Technologies, Inc. Gondola gondola.ai (Legal Name: Swivel Demos Inc.) formerly known as Demoflow. Naro narohq.com accelerate revenue growth with AI-driven sales enablement. Offers content from a company, peers, & industry and Accelerates revenue growth with AI sales enablement. The right sales content, right when you want it! Naro brings together knowledge & content from your company, your peers, & your industry and makes it work in your workflow. Your always-on sales knowledge assistant: Naro sits in the background while you work & uses contextual clues to proactively find you what you need for every customer conversation. We unify all the content you care about – from snippets to slides. There’s no need to learn another UI since we work right in Gmail, LinkedIn, etc. We automatically create summaries & extract the most relevant information based on your conversation. Denver, Colorado, United States. Legal Name: Naro Technologies, Inc.","Rebranding,Acquired",https://www.narohq.com,USA,,,,,,B2B,,1 November 2023
,DemoLeap Limited,"Demoleap demoleap.com @Demoleap Experience the power of Real-Time Guided Selling & drive your team to success. Teams learn, coach, & measure with a single platform. Demoleap began with the idea that sales discovery & demo processes should be a much better experience for the seller & the customer. TEAMS: Convert sales enablement into action faster! Empower team members to deliver high-performing demos. Expertly present & discuss products across your team. Some sellers rock. Some struggle. Demoleap closes the gap. A Real-time AI sales assistant that guides your teams during calls to run perfect qualification, discovery, & live sales demos. Navigate confidently through conversation pivots: Get the help you need no matter which direction the customer pulls you. Have all you need for a successful meeting: Run the entire meeting from discovery & slides to product demo all in one place. Analyze what works & what doesn’t: Gain visibility with step-by-step analytics & share actionable insights with your team to follow in real-time. Easy to Integrate: Works seamlessly with your application, CRM, Conferencing tools, & Slides software, without a single line of code (#NoCode). Demoleap, Inc. & DemoLeap Limited. Park Dalkey, Ireland",Active,https://www.demoleap.com,Ireland,"SaaS,ML",,https://twitter.com/Demoleap,,,B2B,,4 May 2023
,"""Naro Technologies, Inc.""","Gondola Gondola.ai @GondolaAi boosts deal momentum by enabling productive sales conversations. Before the rebranding it used to be: Demoflow demoflow.io @thedemoflow Rock your prospects socks. Demo platform that helps you wow prospects & sell more, faster. Demo platform that enables to streamline prep, presentation, follow-up, & documentation across a sales organization. The company's integrated CRM documentation & live URL management that allows the user to conduct seamless product demos every single time. Demoflow was founded in 2019. Denver, CO, USA. Swivel Demos Inc., dba Demoflow, a Delaware corporation (“Demoflow”). Gondola gondola.ai (Legal Name: Swivel Demos Inc.) formerly known as Demoflow demoflow.io @thedemoflow (“Complete demo enablement platform to streamline prep, presentation, follow-up, & documentation across the sales org.”) was acquired by Naro narohq.com in July 2023! Legal Name: Naro Technologies, Inc.","Rebranding,Acquired",https://www.narohq.com,USA,,,https://twitter.com/gondolaai,https://www.crunchbase.com/organization/demoflow,,B2B,,1 November 2023
,"""Updater Services Pvt. Ltd (UDS), Chennai""","Denave denave.com @denaveglobal Management Consulting. Services: Intelligent Database Management, Retail Analytics, Digital Marketing, Telesales, Field Sales & Marketing, Events & Experiential Marketing, Retail Audits & Visual Merchandising, Sales Training, Sales Process Automation. On 15-Nov-2021, Updater Services Pvt. Ltd (UDS), Chennai-based, acquired a controlling interest in Denave which sees itself as a technology-driven sales enablement company (but mostly a service portfolio). New Okhla Industrial Development Authority, Uttar Pradesh, India","Acquired,Active",https://www.denave.com,India,none,,https://twitter.com/denaveglobal,,,B2B,,10 August 2022
,,"Design Center designcenterideas.com @DesignCenterInc built an iOS & WINDOWS application for BASF Performance Materials who wanted a high performance app to empower their sales representatives to deftly navigate between relevant markets, value propositions, products & content. The app also houses useful widgets for on-the-spot problem resolution, rich business intelligence specific to the customer, real-time data & special private sections which facilitate sales planning & sales management. February 26, 2019, Design Center announced a client project for a mobile sales app for spec reps & sales reps. The sales enablement platform supports a more strategic sales process, is flexible enough to be useful throughout the sales reps’ day. It supports everything from servicing a sample request to delivering a 'lunch & learn' to sharing the latest online configuration tools with a client. The app was developed for a client that designs, produces & sells architectural finishes–through a distributed network of sales & spec reps–to schools, hotels, healthcare facilities, construction companies & architectural firms. Saint Paul, Minnesota, USA","Agency not product company,Out of Business",http://designcenterideas.com,USA,,,https://twitter.com/DesignCenterInc,,22/12/2022,B2B,,22 December 2022
,"""DIALPAD, INC.""","Dialpad dialpad.com https://twitter.com/dialpad/ @DialpadHQ Voice Intelligence (Vi) company shaping the future of business communications. 17-May-2018, they acquired TalkIQ @Talk_iq Customer intelligence platform Dialpad plans to launch generative AI features in mid 2023. According to Diapad, the series of generative AI enhancements would transform how companies communicate, collaborate, & sell: Ai Recap to summarize meetings, Ai Scorecards to improve agents’ day-to-day performance, improvements to Coaching Hub, & Ai Playbooks to provide real-time guidance & tracking against predetermined sales processes. Dialpad says its AI capabilities helped its contact center customers with an 18% cost reduction, a 14% increase in customer satisfaction score, & a 35% agent performance improvement. San Francisco, CA, USA",Active,https://www.dialpad.com,USA,"ML,SaaS",call center agents,https://twitter.com/dialpad/,https://www.crunchbase.com/organization/dialpad,,"B2B,B2C",https://www.owler.com/company/dialpad,19 April 2023
23,"""CONQUER, INC.""","DialSource dialsource.com @DialSource Helps customer-facing teams have better conversations. DialSource CTI for Salesforce & Microsoft Dynamics optimizes the time & energy you spend on calls with prospects & customers because that is where the real work of sales & service gets done. Sacramento, CA, USA. Now conquer.io & CONQUER, INC.","Rebranding,Pivoted",https://conquer.io,USA,,,https://twitter.com/conquer__io,https://www.crunchbase.com/organization/dialsource,,B2B,https://www.crunchbase.com/organization/dialsource,22 January 2023
,"""Sportsdigita, LLC""","Digideck thedigideck.com @thedigideck powered by sportsdigita.com @sportsdigita Sportsdigita a sales enablement technology company that pivoted from an agency to a SaaS model: cloud-based presentation platform Digideck. Enables sales & marketing teams to design & create customized presentations. By shortening sales cycles, driving revenue growth, delivering cohesive integrations & offering real-time back-end analytics, the Digideck aims to become an all-in-one selling solution for sales & marketing teams. Now powering video conferencing & in-app chat for our clients’ all in one location: Digideck platform with strategic integrations, powerful analytics, & immersive, media-rich experiences. Minneapolis | Atlanta | New York | LA. Sportsdigita, LLC","Active,Pivoted",https://www.thedigideck.com,USA,SaaS,,https://twitter.com/theDigideck,,,"B2B,B2C",,18 January 2022
,,"DigitalSalesRoom digitalsalesroom.com @DigitalSalesRom tool to help you achieve more wins from your sales proposals. Creates a space which is shared with your prospects & includes all the information they need to make the decision to buy from you. High levels of competition mean that the demands on sales leaders & enablement teams to make sales proposals stand out from the crowd are increasing. Digital Sales Room helps you easily achieve this – quality delivery of comprehensive & relevant content position your bid head & shoulders above the rest. angel.co/company/digital-sales-room Leeds, UK",Out of Business,,UK,,,https://twitter.com/digitalsalesrom,,3/1/2021,,https://angel.co/company/digital-sales-room,11 March 2022
,Digizuite A/S,"Digizuite digizuite.com @DigizuiteDAM Take control of your content with digital asset management. Enterprise digital asset management software that lets you search, manage, & distribute your brand assets from one centralized source. DAM for Sitecore @damforsitecore: The Digizuite DAM for Sitecore module makes Sitecore even more powerful. Digital asset management seamlessly integrated with Sitecore. Built by @DigizuiteDAM damforsitecore.com Manage digital files and customer experience from one place. The Digizuite™ DAM for Sitecore module gives you a single source for all digital files. Upload, manage, search & share files on multiple channels from within Sitecore. Denmark",Active,https://www.digizuite.com,Denmark,,,https://twitter.com/DigizuiteDAM,https://www.crunchbase.com/organization/digizuite,,,,4 May 2023
,RingCentral,"Dimelo dimelo.com RingCentral Engage Digital @RC_Engage Paris, France. October 23, 2018: RingCentral, Inc.,(NYSE:RNG) provider of global enterprise cloud communications & collaboration solutions, announced that it completed its acquisition of Dimelo, a cloud-based digital customer engagement platform. The acquisition of Dimelo further bolsters RingCentral’s position as a cloud communications provider worldwide. In addition, this acquisition will: Enable RingCentral to offer a modern end-to-end solution in the high-growth customer engagement solutions market & empower agents to efficiently manage customer interactions across digital channels via a single interface leveraging Dimelo’s AI-based smart routing engine",Acquired,https://www.ringcentral.com/digital-customer-engagement.html,France,,,https://twitter.com/RC_Engage,,,,,10 August 2022
,Broadridge Financial,"Direxxis Marketing dmEDGE™ direxxismarketing.com Distributed Marketing Portal March 3, 2015 Broadridge Financial Solutions, Inc. acquired Direxxis LLC, a provider of cloud-based marketing solutions & services, to expand its suite of solutions for wealth & asset managers. “Financial advisors are moving from a mass marketing approach to data-driven strategies in which timely content can be tailored & distributed through both traditional & emerging channels,”",Acquired,https://www.broadridge.com,USA,,,,,,,,10 August 2022
42,"""Distribion, Inc.""","Distribion distribion.com @Distribion gives corporate marketing & sales agents a better way to manage, execute & analyze personalized marketing campaigns. Sales Enablement: A suite of tools designed to increase sales efficiency & effectiveness: Tools include a Sales Kit Generator (Brochure Builder), presentation generation & an education module to assemble, customize & distribute personalized content. Marketing Asset Management: Storing, accessing & easily locating all content, imagery, videos & files for use in multi-channel campaigns. Content management features for optimization & distribution of content, alleviating one of the most significant pain points for many orgs. $1.1M in revenue annually & competes with Pica9, Inc., SproutLoud Media Networks, LLC, & Zift Solutions. Dallas, Texas",Active,http://www.distribion.com,USA,,,https://twitter.com/distribion,,,,,10 August 2022
,Docebo Inc,"Docebo docebo.com @docebo E-Learning. Create, manage, deliver, & measure the impact of learning for external & internal audiences with Docebo’s AI-powered Learning Suite. Docebo’s multi-product learning suite helps enterprises around the world tackle any learning challenge. Create & manage content, deliver training, & understand the business impact of learning experiences. Tackle learning challenges & create a successful learning culture. Docebo Inc. Toronto, Ontario, Canada. Athens GA, USA. Biassono (MB), Italy. Docebo UK Limited, London, UK. 4-Apr-2023: PeerBoard has been acquired by Docebo! Docebo expands external training technology offering with acquisition of PeerBoard. TORONTO, ONTARIO – 4-Apr-2023: Docebo Inc. (NASDAQ:DCBO; TSX:DCBO), a learning platform provider with AI capabilities, announced it acquired PeerBoard https://twitter.com/peerboard a plug&play community-as-a-service platform owned & operated by Circles Collective Inc. The acquisition of PeerBoard will expand Docebo’s external training offering & enhance the Company’s social learning capabilities to include those that are, in Docebo’s view, critical to customer, partner, member, & franchise education environments. Financial details were not disclosed.",Active,http://www.docebo.com,"USA,Canada,UK,Italy",,learning management system,https://twitter.com/docebo,,,B2B,https://www.docebo.com/company/newsroom/docebo-acquires-peerboard/,10 May 2023
,"""Sales Documents, Inc.""","docsales docsales.com Automate proposal & contract buildouts. DocSales allows you to generate proposals & contracts through your CRM of choice with zero clicks – and zero effort. DocSales’ Zero Click allows them to send sales documents automatically, by just dragging the CRM opportunity card from one phase to another one. DocSales sends proposals & quotes automatically to customers, based on preconfigured templates & information the sales representative added to their CRM, which is imported automatically to DocSales. As soon as the customer receives the document, they can e-sign it online. Sales Documents, Inc. Sao Paulo, Brazil & Winter Park, Florida, USA",Active,https://docsales.com,"Brazil,USA",SaaS,"RFP,Document Generation",https://twitter.com/doc_sales,,,B2B,,16 October 2022
43,Dropbox Inc.,"DocSend docsend.com @doc_sales Providing analytics & control for documents you send. Know more. Work smarter. Move faster. “Goodbye email attachments. Hello revenue.” Makes salespeople more effective by enabling them to track, control, send, & present sales materials with real-time document analytics. DocSend’s analytics technology allows you to understand how your documents are being viewed, right down to the time spent on each page. Know what content is working and what’s not. Maintain control even after you send. Send documents on your terms. Create multiple links per document & control them individually. Limit or turn off access at any time. Rest easy knowing your content is secure. $1.3M in estimated revenue annually & competes with Showpad, ClearSlide, & Tilkee. San Francisco, USA. 10-Mar-2021, Dropbox announced it plans to acquire DocSend for $165 million. DocSend docsend.com @DocSend helps customers share & track documents by sending a secure link instead of an attachment.","Active,Acquired",http://docsend.com,USA,,,http://twitter.com/docsend,https://www.crunchbase.com/organization/docsend,,,https://techcrunch.com/2021/03/09/dropbox-to-acquire-secure-document-sharing-startup-docsend-for-165m/,4 May 2023
,Likalo Limited,"Docsie DOCS Docsie.io @likalo_llc SaaS platform. Helps businesses write better product documentation. Craft web knowledge portals via a documentation platform that simplifies the way your team does docs. Customized Documentation Hubs: Use Docsie Manager to create & publish custom product documentation hubs that mirror your brand’s look & feel. Likalo Limited, Toronto, Ontario, Canada",Active,https://docsie.io,"USA,Canada",,,https://twitter.com/likalo_llc,https://www.crunchbase.com/organization/docsie,,,,2 September 2022
44,Ikigai,"DocShare docshare.io Track document opening & performance with easy to share weblinks. Document tracking app by Sales Handy by Ikigai SalesHandy.com @saleshandy (send, track, control, engage & present sales collateral with actionable document analytics. CENTRALIZED SALES COLLATERAL: Manage all your sales documents at one place. Organize your files by teams, company or private.) Ahmedabad, Gujarat, India",Out of Business,,India,,,,,,B2B,,2 February 2022
114,Atlassian Corporation Plc,"doctape.com / tape.io @doctapers doctape lets you view & organize all your files in the browser, including a wide range of different document, image, video & audio formats. No local software installation required! It's simple, fast & secure. doctape also act as the first real document hub by integrating 3rd party services (scanservices, print&mail, pos digitalbill, Dropbox, Google Docs) which will serve you with a 100% transition to your existing document-ecosystems, including paper. Your personal document & media hub - Simplify your file management. View, organize & share your files instantly in a single place. iOS app. Hannover, Germany. 12-Sep-2014 Atlassian acquired doctape for $7.5M",Acquired,,Germany,,,https://twitter.com/doctapers,https://www.crunchbase.com/organization/doctape,,B2B,,4 May 2023
,Quark,"Docurated docurated.com (offline as of 15-NOV-2020) @docurated https://www.quark.com/products/quark-docurated/ sales enablement & sales asset management platform powers content recommendations with AI & predictive analytics. Faster deck creation, Access the newest & most relevant content, Assemble new pitches in minutes, Pitch better & more often, Seamless integration with existing file storage, Automatic indexing & visualization of content, Mobile & desktop access. NYC, NY, USA. Their inception was in 2012; now part of Quark Software, Inc. Denver, CO. Quark Software announced 6-Dec-2017 it acquired Docurated.",Acquired,https://www.quark.com/products/quark-docurated/,USA,,,,,,B2B,,4 May 2023
159,DocuSign,DocuSign completed its acquisition of SpringCM (See SpringCM below),Acquired,,,,,,,,,,2 September 2022
,"""Office Gemini, LLC""","Dokmee dokmee.com @dokmeesoftware Provides Capture (Document Capture Software) & ECM (Enterprise Content Management) software available in cloud, web, & mobile based solutions. Houston, TX, USA. Office Gemini, LLC",Active,https://www.dokmee.com,USA,,CMS,https://twitter.com/dokmeesoftware,,,B2B,,4 May 2023
46,Dooly Research Ltd.,"DOOLY www.dooly.ai angel.co/company/dooly @DoolyHQ Close deals faster with sales enablement software that adapts to what your customers say. That time you felt flat-footed on a sales call because your prospect brought something up that you hadn’t anticipated… yeah, that wasn’t fun & we felt your pain. Dooly’s real-time playbook engine keeps your conversations as sharp & on-point as the buyer you talk to, matching their every move with sales tools that answer even their toughest questions. “Update Salesforce 10x faster. Dooly automates your CRM busywork so you can focus on selling. Sell more with less admin work slowing you down.” dooly.ai/roles/sales-enablement/ Ramp your sales reps faster at scale: Empower all of your sellers quickly to be as confident on day 1 as day 100. Feed relevant talking points and tools to your teams live during their sales calls based on the flow of the conversation. Your buyer doesn’t wait. Dooly surfaces the gaps in your sales process giving you essential insight into where your playbook needs improvement. Stop with the guesswork. Know what talk tracks & content perform best allowing you to continually optimize your enablement strategy. Quantifying the results of your enablement efforts isn’t easy. $4.5M in revenue annually & competes with Chorus, Gong.io, & Conversable. Vancouver, BC, Canada",Active,https://www.dooly.ai/,Canada,ML,Sales Enablement,https://twitter.com/DoolyHQ,https://www.crunchbase.com/organization/dooly-research,,B2B,,23 May 2023
,KLUE LABS,"DoubleCheck Research doublecheckresearch.com @DoubleCheckRes 19-Jan-2023, Market intelligence platform Klue acquired Massachusetts-based company DoubleCheck Research. Financial details of the acquisition were not made public. The combined companies will become an “all-in-one” platform. Klue raised $62M in 2021. Klue klue.com @kluein competitive intelligence software that helps Marketing & Enablement teams collect, curate, & deliver intel to Sales to close more deals. Track Competitors: Stay on top of the competition. Klue tracks relevant news & data and combines it with internal sources. Deeper competitive intelligence gives you the edge. Centralize Competitive Content: Update sales battle cards, collaborate, & deliver consumable competitive strategies in the tools your Sales reps use every day. Improve Sales Performance: Arm reps with sales strategies to be more effective in closing deals. Easily searchable sales battlecards give tactics to handle objections, deposition competitors, & leverage strengths. $800K in estimated revenue annually & competes with CI Radar, PlainSight Intel LLC, & Digimind. By KLUE LABS, Vancouver, BC, Canada.",Acquired,https://doublecheckresearch.com,USA,,,https://twitter.com/DoubleCheckRes,,,B2B,https://www.geekwire.com/2023/market-insights-platform-klue-acquires-doublecheck-research/,22 January 2023
45,Doxee S.p.A. C.F.,"Doxee doxee.com @DoxeeInc cloud company that enables enterprises to efficiently create & deliver personalized communications that evoke positive response & action. Provide the right data to the seller at the right time. Reach the right salesperson, when it is most appropriate, through the most appropriate channels & in the most appropriate format. Document experience: Customer Customer Communications Management for document process management. Paperless experience: Dematerialization & Digital Transformation of Documents: Meets the dematerialization needs of tax & document processes in compliance with European standards. Interactive experience: Customer Experience Management: Enhance your customers’ data to create a revolutionary digital customer experience through personalized communications. Doxee S.p.A. C.F., Modena (MO), Emilia-Romagna region of northern Italy.",Active,https://www.doxee.com,Italy,,Document Generation,https://twitter.com/DoxeeInc,,,B2B,,19 January 2022
129,"""Nitro Software, Inc.""","doxIQ @doxiqteam document analytics startup acquired by Nitro in October-2015 (Nitro Software, Inc. gonitro.com @NitroHQ Nitro PDF: Create, Convert & Edit PDF Files). doxIQ brings marketing documents to life & into the browser. PDFs are dead. doxIQ provided actionable data while reducing friction in generating qualified leads. While easy for anyone to use, we fully embrace the new generation of technically savvy growth hackers who need developer friendly API access to their data. doxIQ aimed to be the document standard for a connected world. The technology converts MS Office & PDF documents into visually identical web assets that collect data on view activity & boost engagement with interactive content & simple sharing. Initially, they focused on helping B2B marketers improve ROI on their white papers, research reports & other marketing collateral. Palo Alto, California, USA. 11 Nov 2021 Australian-based document productivity software firm Nitro Software wants to conquer the global eSign market, starting with the AU$110M acquisition of Connective, a European eSign company.",Acquired,https://www.gonitro.com/business,USA,,,https://twitter.com/doxiqteam,https://www.crunchbase.com/organization/doxiq,,B2B,https://angel.co/company/doxiq,18 January 2022
47,Zinnov,"Draup Platform draup.com/sales/ @draup_sales Machine Learning startup incubated at @Zinnov zinnov.com Powering Sales Enablement: Empowers sales teams with comprehensive account & stakeholder intelligence to enable micro-targeting. Analyzing millions of data points to help sales teams understand finer details about their prospects, such as buying preferences, technology choices, outsourcing deals, buying centers, strategic & investment priorities etc., while also obtaining a deep understanding of the key decision makers among your prospects. Equip you with sales intelligence & help you answer pressing sales questions such as “leads to prioritize”, “Right stakeholders to target”, & “How to approach the targeted opportunity”. Cloud hosted web application with data rich insights & visualizations to help you know the most important information about your prospects. AI - Powered Sales Intelligence Empower sales teams with industry, account & stakeholder intelligence & enable them to micro-target prospects. US-India-China-Singapore. Santa Clara, California, US",Active,https://draup.com/sales/,"USA,India","ML,SaaS",,https://twitter.com/draup_sales,,,,,6 June 2022
,"Nintex,TPG private investment firm","Drawloop Technologies acquired by Nintex, Jul-2015: Drawloop DocGen for Salesforce by Nintex nintex.com @Nintex Generate precise & accurate documents for sophisticated business functions like sales proposals, contracts or work orders. It’s fast + easy to manage, automate & optimize your business processes. nintex.com/workflow-automation/document-generation/ Your enterprise has the power to generate documents wherever your employees may be—at a site, on the road, in the field, in the air. Drawloop DocGen for Salesforce is available as a FedRAMP SaaS compliant cloud service through Project Hosts’ Federal Private Cloud. Government agencies can digitize, automate, & standardize all of their document generation processes by adding Drawloop DocGen to their Salesforce deployment. Drawloop Technologies had $4.4M in estimated revenue annually & used to compete with Proposable, Seismic, & Quote Roller. Bellevue, WA, USA",Acquired,https://www.nintex.com/workflow-automation/document-generation/,USA,,,https://twitter.com/Nintex,https://www.crunchbase.com/organization/drawloop-technologies,,B2B,,5 March 2022
136,"Vista Equity Partners,""Drift.com, Inc.""","Drift drift.com @Drift Drift.com, Inc. CUSTOM CHATBOTS, PROACTIVE MESSAGING, AUTOMATED BOOKING, LIVE CHAT, EMAIL FALLBACK, SAVED REPLIES, LIVE VIEW, DATA ENRICHMENT, CUSTOM BRANDING. Connect your sales teams with your future customers now. Provides a buying experience for potential customers, generate more qualified leads, & accelerate the sales cycle. Conversation-driven marketing & sales platform. With its evolving set of tools & playbooks, Drift unlocks the insights buried in conversations to accelerate business success. Acquired Giant Otter Technologies, 3-Sep-2019. Giant Otter offered a way to create conversational AI directly from existing call recordings or chat transcripts. Massachusetts, USA. 1-Sep-2021, Drift acquired by Vista Equity Partners. Sep-2018 Drift acquired Siftrock for an undisclosed amount. Apr-2015 Drift acquired Fetchnotes for an undisclosed amount.","Active,Acquired",http://www.drift.com,USA,,,https://twitter.com/drift,https://www.crunchbase.com/organization/drift,,B2B,https://techcrunch.com/2021/09/01/vista-equity-takes-majority-stake-in-saas-startup-drift-taking-it-to-unicorn-status/,6 June 2022
,Dubber Corporation Limited,"Dubber Notes dubber.net/notes/ notiv.com virtual notetaker joining Zoom meetings to post meeting notes. Notiv is now Notes by Dubber: Meet smarter, not harder. “Notes by Dubber” helps teams to be more focused & productive in calls & meetings. Our AI Notetaker automatically generates transcripts, action items & rich summaries, so you & your team can concentrate on the task at hand. Dubber @dubberapp Unified Call Recording & Voice AI. Cloud-based SaaS for Call Recording & Speech Intelligence.","Active,Rebranding",https://www.dubber.net/notes/,Australia,"SaaS,ML,voice","knowledge management,Call Coaching",https://twitter.com/dubberapp,,,"B2B,B2C",,24 August 2022
136,"""Drift.com, Inc."",Vista Equity Partners","Giant Otter Technologies: Drift.com, Inc. acquired Giant Otter Technologies, 3-Sep-2019. Giant Otter offered a way to create conversational AI directly from existing call recordings or chat transcripts. Somerville, Massachusetts, United States",Acquired,http://www.giantotter.com,USA,,,https://twitter.com/GiantOtterTech,https://www.crunchbase.com/organization/giant-otter-technologies,10/5/2022,,,1 June 2022
,Deltecs Infotech Pvt Ltd,"DronaHQ dronahq.com @dronahq Legal name: Deltecs Infotech Pvt Ltd #NoCode No code app development platform for building mobile & web business apps. Cloud-based no-code app development platform for building business apps & automating business operations for SMB, Enterprises, Business Units & IT Depts. Developer productivity gains, speed of delivery, while ensuring rich end-user experience. Digitize everyday sales activities along with sales support apps to help train sales team on processes, product knowledge, pricing competitive positioning or more. Enable instant reporting & automation of approvals with workflows to keep the back office connected with the sales force for faster detection & decision making. Maintain a central database of all complex sales processes, numbers & learning with real-time access to inventory status, pending requests, orders & more. India",Active,https://www.dronahq.com,India,no code,,https://twitter.com/dronahq,https://www.crunchbase.com/organization/deltecs-infotech-pvt-ltd,,,,21 October 2022
43,Dropbox Inc.,"Dropbox acquired HelloSign hellosign.com @HelloSign Simplifying work for the businesses of tomorrow: We are HelloSign, HelloFax & HelloWorks. San Francisco, CA, USA https://dropboxatwork.com",Acquired,https://dropboxatwork.com,USA,,,https://twitter.com/HelloSign,https://www.crunchbase.com/organization/dropbox-for-business,,,,31 October 2023
43,Dropbox Inc.,"Dropbox dropbox.com @Dropbox (acquired HelloSign) Dropbox for Business helps companies seamlessly collaborate with secure file sharing, access from anywhere, and robust admin controls. San Francisco, California, United States. Acquired HelloSign hellosign.com @HelloSign Simplifying work for the businesses of tomorrow: We are HelloSign, HelloFax & HelloWorks. San Francisco, CA. 10-Mar-2021, Dropbox announced it plans to acquire DocSend for $165 million. DocSend docsend.com @DocSend helps customers share & track documents by sending a secure link instead of an attachment.",Active,https://dropboxatwork.com,USA,,,https://twitter.com/Dropbox,https://www.crunchbase.com/organization/dropbox,,,https://techcrunch.com/2021/03/09/dropbox-to-acquire-secure-document-sharing-startup-docsend-for-165m/,31 October 2023
,The Riverside Company,"DSG Consulting former dsgconsulting.com & https://www.dsgteam.com @JustAddDSG Our passion & focus is enabling every sales channel to implement your company’s vision & strategy. “Playbook based solutions that enable every salesperson, sales manager and channel partner to implement your growth strategy through content, tools, & training.” Little Rock, AR, USA. the combination of DSG & Corporate Visions can turn your growth plays into big commercial outcomes. Corporate visions acquired dsg to expand revenue growth services: 18-Apr-2022, Consulting & training companies Corporate Visions & DSG are coming together to provide an expanded set of Revenue Growth Services to improve B2B commercial execution.","No software,Active,Acquired",,USA,,,https://twitter.com/JustAddDSG,,22/8/2023,,,22 August 2023
,,"e4enable e4enable.com @e4enable Competency based, sales coaching & enablement platform to ensure sales methodologies & best practices are embedded & repeatable to improve top line performance. Sales enablement platform to ensure sales methodologies & best practices are embedded & repeatable to improve top line performance. It brings together sales enablement, sales leaders & sellers to ensure the long term success of your sales transformation. United Kingdom. Joined Twitter October 2018.",Active,https://www.e4enable.com,UK,,,https://twitter.com/e4enable,,,,,2 September 2022
102,Pageflex,EarthIntegrate (See Pageflex below),"Acquired,Out of Business",https://www.pageflex.com,,,,https://twitter.com/pageflexinc,,,,,23 May 2023
,"""EasyMovie, Inc. managed by MY EASY MOVIE, French simplified joint-stock company""","EasyMovie easy.movie @EasyMovie enterprise all-in-one video platform to accelerate Sales Efficiency with video. Accelerate & engage your Sales team. Empowers top-performing teams to build more sales pipeline, personalize their customer experiences, & share their expertise through video. EasyMovie's integrations with Salesforce & other sales tools empower you to create & share right from your existing workflows. New York, United States. EasyMovie, Inc. managed by MY EASY MOVIE, a French simplified joint-stock company. France",Active,https://www.easy.movie/,"USA,France",SaaS,Sales Enablement,https://twitter.com/easymovie,,,B2B,,23 May 2023
,EBSTA LIMITED,"Ebsta ebsta.com @ebstahq empowers thousands of companies to drive customer engagement at scale. London, UK. EBSTA LIMITED",Active,https://www.ebsta.com,UK,,,,https://www.crunchbase.com/organization/ebsta,,,,15 April 2022
,SafetyCulture Pty Ltd.,"EdApp edapp.com @ThisisEdApp all-in-one learning solution that your teams can access anywhere. Reinvent your training. EdApp helps you create, test, & deploy mobile microlearning courses that your team actually enjoys. Agile, easy-to-use authoring tool that enables you to easily create engaging & effective micro-learning courses. Built-In AI Translation: The cloud translation tool uses Google’s AutoML to enable global organizations to deploy courseware in multiple languages at scale. Combined with rapid authoring, courseware can be translated & distributed in dozens of languages with just a click of a button. Check Knowledge Retention: Reinforce learning & check your team’s understanding from meetings, onboarding, & training using our quiz-making tool, Rapid Refresh. Add your questions & answers to our easy-to-complete spreadsheet, & deploy it to see where individual learners or your team may need additional help. Comprehensive library of fully editable, courseware to deliver the best training material to your team in minutes. EdApp Inc. Sydney, Australia. Founded 2015. 15-Sep-2020, SafetyCulture acquired EdApp for $40M.","Active,Acquired",https://www.edapp.com,Australia,SaaS,"learning management system,training / onboarding",https://twitter.com/ThisisEdApp,https://www.crunchbase.com/organization/ed-app,,"B2B,B2C","acquired by SafetyCulture for $40M on Sep 15, 2020",23 May 2023
