Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,X.com (Twitter),Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
30,"""Consensus Sales, Inc.""","CONSENSUS (formerly DemoChimp) goconsensus.com DemoChimp Rebrands as CONSENSUS - makes it possible for sales and marketing professionals to create interactive customized demo videos that give each buyer an overview of a product’s value proposition. American Fork, UT, USA. Demo automation solutions provider Consensus launched a redesigned version of its interactive demo video platform. The platform is catered to B2B pre-sales teams, helping them save time & ensure consistent demo walkthroughs. […] the new redesign offers a conversational style demo. […] “guides the customer with ease, puts more control in their hands while promoting the visibility of the sales executive throughout the process.” Consensus raised $15M in Series B funding [in Jan-2022] to further develop the platform. It also reported that clients were able to reduce sales cycles by 29% by using the product. Client’s at the time also reported a 44% increase in close rates.","Rebranding,Active",https://www.goconsensus.com,USA,,,https://twitter.com/goconsensus,https://www.crunchbase.com/organization/demochimp,,B2B,https://salestechstar.com/product-management/consensus-enhances-demo-automation-platform-for-buyer-led-growth-with-launch-of-a-new-demo-player/,27 July 2025
,,Contemsa contemsa.com @contemsa B2B Sales Templates & Tools. Sales Playbook Templates. Reseller Enablement. UK,"No software,Active",https://contemsa.com,UK,none,Sales Enablement,https://twitter.com/contemsa,,,B2B,,23 June 2025
31,Content Camel LLC.,"Content Camel contentcamel.io & ccml.io https://x.com/contentcamelapp All your sales content, in one place. No more insane drive folders. Search, find, share, & track content from one place to enable sellers. Content Discovery & Sales Enablement: Organize your content database according to the nuances of your sales cycle & organization. Content Camel - with intelligent search & sales-aligned funnel identification - makes sure the right content is found & offered at the right time to better connect content marketing teams to sales teams & beyond. Today, most marketing teams struggle to catalog & effectively deploy all the awesome content they are developing while sales often complains the right content isn't being created. Portland, Oregon, USA & Toronto, ON, Canada",Active,https://www.contentcamel.io,"USA,Canada",,,https://x.com/contentcamelapp,,,B2B,https://www.linkedin.com/company/contentcamel/,2 June 2025
86,NICE Ltd / NICE Systems Ltd.,"ContentEngine, NICE Ltd / NICE Systems Ltd. https://twitter.com/NICELtd snapped up privately held ContentEngine in Jul-2021, which came soon after its Apr-2021 acquisition of MindTouch to expand its CXone offering. “Our recent acquisitions of ContactEngine and MindTouch, plus our native Enlighten AI and data lake investments, puts NICE CXone in the unique position to cover 100% of customer need events through the addition of proactive outbound, intelligent self-service, and self-learning AI to make better bots faster,” said Chris Bauserman, NICE CXone vice president of marketing. Headquarters: Ra’anana, Israel",Acquired,https://www.nice.com/products/digital-self-service/knowledge-management,Israel,,,https://twitter.com/NICELtd,,,B2B,,23 June 2025
127,"""Raven360, Inc."",""Revinova, INC""",Content Raven ContentRaven (See Raven360 below) @Raven360_ Rebranded to https://www.revinova.com https://twitter.com/Revinova_ @Revinova_,"Rebranding,Pivoted",https://www.revinova.com,,,,https://twitter.com/Revinova_,https://www.crunchbase.com/organization/content-raven,,B2B,,7 December 2025
,"Lister Digital,Bounteous,Lister Technologies","ContexTip contextip.com @ContexTip ContexTip was a platform that integrates with Salesforce and provides contextual information at the right time to the Salesperson. The right insights at the right time with the right context. In large globally spread sales teams, where many divisions often sell into the same accounts, the potential to cross-sell often goes unrealized because information is trapped in silos. ContexTip digs through all data in Salesforce & recommends the best sales executives across divisions to reach out for help with a deal. A recommendation engine gives a ring-side view of your account & helps your team with timely, relevant & optimal date to help the deal move further & faster to closure. Have the power of critical information at your finger tips just when you need it. By Lister technologies, India. Stopped tweeting 2017. Website offline as of 29-Mar-2022. Chicago and Chennai, India—September 23, 2021 – Bounteous, a leading insights-driven digital experience consultancy, today announced that it has acquired Lister Digital, a full-service digital transformation consultancy with offices in Chennai, India, and San Mateo, California. Bounteous originated in 2003 as HS2 Solutions, founded by Phil Hollyer and Keith Schwartz in Chicago. From those early days, we have been driven by a passion to deliver innovative digital solutions to industry-leading brands. Our journey of growth has been sustained through both organic expansion and strategic acquisitions, which include LunaMetrics, Demac Media, and Infield Digital in 2018; The Archer Group and FortyFour in 2020; and Hathway Digital and Lister Digital in 2021. 2024, Bounteous merged with Accolite Digital. Following the strategic merger of Bounteous & Accolite Digital in 2024 and the acquisition of Lister Digital in 2021, Bounteous is known as Bounteous x Accolite in India. Our presence in the region spans across the country to include collaboration centers in Hyderabad, Bangalore, Gurugram, & Chennai. Our team of thousands of professionals, either on-site, hybrid, or remote, brings together deep technical expertise & a history of execution excellence to deliver transformative brand experiences.","Out of Business,Acquired",https://www.bounteous.com/insights/2021/09/23/bounteous-acquires-lister-digital/,India,none,,https://x.com/ContexTip,,29/3/2022,B2B,https://www.bounteous.com/insights/2021/09/23/bounteous-acquires-lister-digital/,26 June 2025
154,"Bigtincan,""Vector Capital Management, L.P."",Insight Partners,Showpad","Contondo: Nov 30, 2017: Bigtincan, a provider of mobile artificial intelligence-powered sales enablement automation, has acquired Contondo, a provider of sales enablement automation tools that focus on the discovery & classification of available sales & service content, while enhancing measurement & improving ROI.  San Francisco — August 26, 2025 — Vector Capital Management, L.P., a private equity firm specializing in transformational investments in established technology businesses, announced an agreement to acquire Showpad, an AI revenue enablement technology company with headquarters in Chicago and Ghent, Belgium. After the transaction closes, Vector will combine Showpad with Bigtincan Holdings, which it acquired in April 2025. The combined entity will operate under the Showpad brand. It will deliver an AI-powered revenue enablement solution across all aspects of buyer-seller engagement with broad geographic diversity, and combined R&D resources to accelerate innovation market-wide. Insight Partners, a large investor in Showpad, will roll over its full investment into the combined company. The completion of the transaction is subject to customary conditions, including regulatory approval. Further terms were not disclosed, and the transaction is expected to close in 2025.","Acquired,Rebranding",,,,,,,,B2B,"San Francisco — August 26, 2025 — Vector Capital Management, L.P., a private equity firm specializing in transformational investments in established technology businesses, announced an agreement to acquire Showpad, an AI revenue enablement technology company with headquarters in Chicago and Ghent, Belgium. After the transaction closes, Vector will combine Showpad with Bigtincan Holdings, which it acquired in April 2025. The combined entity will operate under the Showpad brand. It will deliver an AI-powered revenue enablement solution across all aspects of buyer-seller engagement with broad geographic diversity, and combined R&D resources to accelerate innovation market-wide. Insight Partners, a large investor in Showpad, will roll over its full investment into the combined company. The completion of the transaction is subject to customary conditions, including regulatory approval. Further terms were not disclosed, and the transaction is expected to close in 2025.",28 August 2025
32,"""Conversica, Inc.""","Conversica conversica.com @MyConversica automate email conversations with all your leads to qualify them for Sales. AI software for marketing & sales, fosters real conversations to discover your most qualified sales opportunities. AI-powered sales assistant; uses human-like, two-way email conversations to automatically engage & qualify leads, freeing up Sales to close more business. Conversica, Inc. [“conversational artificial intelligence (AI) for business”] announced 30-Oct-2018 it secured a $31M Series C funding round led by existing investor Providence Strategic Growth Capital Partners L.L.C. (PSG), an affiliate of Providence Equity Partners, with participation from other existing investors Toba Capital & Kennet Partners & from new investors CIBC Innovation Banking & Savano Capital Partners. This brings the total invested capital to $87M. “Investment proceeds will be used to fund global sales & marketing expansion, as well as to continue development of Conversica’s technology” incl. an AI-powered system that automatically carries on conversations. Foster City, CA",Active,http://www.conversica.com,USA,,,https://twitter.com/myconversica,https://www.crunchbase.com/organization/conversica,,,,27 July 2025
,Known PTY LTD.,"Known Pty Ltd (ABN 40116431700) t/a ‘Kudosity Co.’ kudosity.co former Burst SMS: Conversr (powered by Burst SMS @burstsms) conversr.com The next generation of customer engagement: A conversation control hub that enables you to manage the conversations you have with your customers by combining the powers of human logic & artificial intelligence. Personalized Conversations: Send & receive SMS. Flow Editor: Rapidly design & build custom solutions from our platform, or select one of our turn-key solutions to help you get started quickly. Reporting: Get reporting on key campaign metrics, including campaign goals & objective reporting. With primary business beginning in Australia & New Zealand, Burst SMS is now expanding rapidly globally. With staff in Sydney, Melbourne, Vancouver & Manila, the company has grown rapidly. AU, HK, NZ, PH, SG, UK, US",Active,https://www.conversr.com,Australia,ML,"engagement,Buyer Enablement,call center agents",https://twitter.com/conversr,https://www.crunchbase.com/organization/burst-sms,,B2B,,4 January 2024
,,"Convin convin.ai @getconvinAi Conversation Intelligence Platform for remote sales teams to help teams sell better. Bigger, Better & More Sales. Use Convin to increase close rates for your reps & provide coaching that they love. Records, transcribes & analyzes all sales calls to give insights on what’s working on calls & what’s not. Bengaluru, India",Active,https://convin.ai,India,"ML,SaaS","Call Coaching,Win loss analysis",https://twitter.com/getconvinAi,,,B2B,,21 September 2024
33,"""Convo, Corp.""","Convo convo.com @convo provides in-context work collaboration! A real-time company message board. Share ideas, documents, videos or anything you want easily, without things getting lost in the endless reply chains of email. Clear, crisp collaboration! In-Context = No clutter! Automated acknowledgements: Need to send something out to all employees, but you also need to know exactly who has seen it (and, of course, who hasn’t.)? Who really got the memo? Convo makes it easy: Write your post like any other, but check the “Recipients must acknowledge to view”. When it pops up in your colleagues’ timeline, it will be blurred with a prompt asking them to acknowledge the post. Once they acknowledge it, the post is de-blurred. $4M in revenue annually & competes with Slack, Zinc, & HipChat. San Francisco, USA & Islāmābād, Pakistan",Active,https://www.convo.com,"USA,Pakistan",SaaS,,http://twitter.com/convo,https://www.crunchbase.com/organization/convo,,B2B,,27 July 2025
,"""Cooby, Inc.""","Cooby cooby.co @JoinCooby unlock the power of conversations. Making WhatsApp your sales weapon. Bring visibility into customer conversations from your teams' regular WhatsApp numbers with analytics, customer tracking & intelligence. Modernize your WhatsApp inbox with tabs, notes, reminders, social profile, calendar integration, etc. Cooby, Inc., San Francisco, CA, USA",Active,https://cooby.co,USA,,,https://twitter.com/JoinCooby,,,"B2B,B2C",,27 July 2025
,"""Cool Life CRM, Inc.""","Cool Life CRM, Inc. https://www.coollifecrm.com https://coollife.io @coollifecrm scalable & dynamic customer relationship management platform CRM. Seamless integration of CRM processes, websites, & all marketing efforts in one centralized location for the effective management of a customer base. Montgomery, New York, United States",Active,https://coollife.io,USA,,,https://twitter.com/coollifecrm,https://www.crunchbase.com/organization/cool-life-systems,,,,27 July 2025
,Coolshop S.r.l.,"CoolPim coolshop.it PIM by the Coolshop team. Coolshop S.r.l. manage product data, media & content cross brands & regions. SMART AND DYNAMIC CONTENT (INTELLIGENT ENGINE), CONTENT FALLBACK BASED ON MARKET AND PRODUCT HIERARCHY, MULTI-LANGUAGE CONTENT MANAGEMENT. Support your Sales Team: Enrich Pricebook layouts & data with valuable information; Verify content editing with preview functionality before exporting your Pricebooks to PDF; Pricebooks can be either exported in PDF version or be pushed to the salesman application; Manage multiple Pricebook versions for the same product at the same time, maintaining only one active version; Questions & Answers definition and option tag for Assisted Selling process. TURIN HQ, Torino – 10123, Italy ",Active,https://www.coolshop.it/en/product-pim/,Italy,,,,,,,,27 July 2025
14,"""Fullcast, Inc."",""CopyAI, Inc""","Copy.ai copy.ai https://www.copy.ai https://x.com/copy_ai San Francisco Bay Area, CA, USA. CopyAI, Inc. Salt Lake City, Utah 15-Oct-2025: Fullcast, go-to-market (GTM) and revenue operations automation, announced the acquisition of Copy.ai, a generative AI platform for sales and marketing workflows. The acquisition marks a milestone in Fullcast’s mission to deliver a unified, AI-native GTM platform that spans across planning, forecasting, execution, and compensation. The integration of Copy.ai expands Fullcast’s capabilities, allowing organizations to plan, execute, and optimize every aspect of their revenue engine within one platform. Together, the companies will deliver an end-to-end “Plan-to-Pay” model, bridging the gaps between GTM strategy, sales productivity, and AI-powered execution.","Acquired,Active",https://www.copy.ai,USA,,,https://x.com/copy_ai,,,,,3 November 2025
,Corel Corporation,"Corel Corporation corel.com @corelsoftware 12-Dec-2017 Corel Corporation, Canadian office & design software company, announced it acquired ClearSlide, sales engagement platform (See ClearSlide). Ottawa, Canada. ClearSlide clearslide.com acquired SlideRocket to let you create & edit presentations in the cloud with slide-by-slide analytics. On 23-Dec-2020, @bigtincan announced that its wholly owned US subsidiary, BTC Mobility, LLC has entered into a binding Stock Purchase Agreement with Corel, Inc where Bigtincan (ASX:BTH) has agreed to pay $22.6M for @ClearSlide, the sales engagement technology platform with hundreds of customers across three continents. The company has estimated annualised recurring revenue of $5.2M. ClearSlide’s customers include The Economist & GoDaddy. The acquisition will add 32 staff members to Bigtincan’s books. This sale of ClearSlide might mean Corel has exited the Sales Enablement market.  San Francisco — August 26, 2025 — Vector Capital Management, L.P., a private equity firm specializing in transformational investments in established technology businesses, announced an agreement to acquire Showpad, an AI revenue enablement technology company with headquarters in Chicago and Ghent, Belgium. After the transaction closes, Vector will combine Showpad with Bigtincan Holdings, which it acquired in April 2025. The combined entity will operate under the Showpad brand. It will deliver an AI-powered revenue enablement solution across all aspects of buyer-seller engagement with broad geographic diversity, and combined R&D resources to accelerate innovation market-wide. Insight Partners, a large investor in Showpad, will roll over its full investment into the combined company. The completion of the transaction is subject to customary conditions, including regulatory approval. Further terms were not disclosed, and the transaction is expected to close in 2025.",Leaving Sales Enablement market,https://www.corel.com,Canada,,,https://twitter.com/corelsoftware,,,,"San Francisco — August 26, 2025 — Vector Capital Management, L.P., a private equity firm specializing in transformational investments in established technology businesses, announced an agreement to acquire Showpad, an AI revenue enablement technology company with headquarters in Chicago and Ghent, Belgium. After the transaction closes, Vector will combine Showpad with Bigtincan Holdings, which it acquired in April 2025. The combined entity will operate under the Showpad brand. It will deliver an AI-powered revenue enablement solution across all aspects of buyer-seller engagement with broad geographic diversity, and combined R&D resources to accelerate innovation market-wide. Insight Partners, a large investor in Showpad, will roll over its full investment into the combined company. The completion of the transaction is subject to customary conditions, including regulatory approval. Further terms were not disclosed, and the transaction is expected to close in 2025.",28 August 2025
,"Adnaks Marketing Solutions Private Limited,Corefactors LLC","corefactors corefactors.in corefactors.ai @AICorefactors Your Revenue Multiplier – a RevOps Platform. A RevOps platform to plug your revenue leakages. It is not your average CRM customer relationship management tool. Corefactors is a platform to align your sales, marketing, customer support, & success efforts toward a common business goal. Salesbox: Maximize sales efficiency with automated workflows, advanced sales insights, integrated communication, & automation. Bengaluru, India",Active,https://www.corefactors.ai,India,SaaS,CRM,https://x.com/AICorefactors,,,B2B,,8 August 2025
,,"CoreFlow AI CoreFlowAI coreflowai.com From former SDRs who’ve built $1.9M in pipeline in 18 months. We built the growth engine we wish we had. Now, we’re building it for you. CoreFlow Growth Engine: A system designed for leverage & speed. Powered by a proven, data-driven system. Delivers qualified pipeline from Month 1. Brings cross-industry insights. A force multiplier for your existing team. Our system of processes and proven workflows generates and converts qualified leads at scale. Think of it as Pipeline-as-a-Service. We build it for you, or we can run it for you. India","Active,Pre-Launch,Agency not product company",https://coreflowai.com,India,ML,"pipeline,Lead Generation",,,23/8/2025,,,23 August 2025
,The Riverside Company,"Corporate Visions Inc. @corpv marketing & sales messaging, tools and training company, announced June 25, 2014 it acquired Launch International, Inc., a communications company specializing in marketing and sales enablement content. corporatevisions.com LARKSPUR, CA, USA. 19-Aug-2021, Sentinel Capital Partners, a private equity firm that invests in lower midmarket companies, announced the sale of Corporate Visions Inc., the sales & marketing enablement company in the U.S., to The Riverside Company. The terms were not disclosed. the combination of DSG & Corporate Visions can turn your growth plays into big commercial outcomes. Corporate visions acquired dsg to expand revenue growth services: 18-Apr-2022, Consulting & training companies Corporate Visions & DSG are coming together to provide an expanded set of Revenue Growth Services to improve B2B commercial execution. (See vPlaybook.io below) Our passion & focus is enabling every sales channel to implement your company’s vision & strategy. Playbook-based solutions that enable every salesperson, sales manager & channel partner to implement your growth strategy through content, tools, & training. Little Rock, AR, USA. 20-Apr-2023: Corporate Visions has launched TruVoice, an automated customer feedback and sales training system. The platform analyzes a salesperson's skills to identify areas of improvement and offer personalized coaching. The system identifies areas of improvement based on input provided by direct buyers.","No software,Agency not product company",https://corporatevisions.com,USA,none,,https://www.twitter.com/corpv,https://www.crunchbase.com/organization/corporate-visions,,B2B,https://www.prnewswire.com/news-releases/sentinel-capital-partners-sells-corporate-visions-inc-301358662.html,8 July 2024
,"CorsPro,Cors Productivity Solutions Inc.","CorsPro corspro.com @CorsPro Cors Productivity Solutions provides proposal automation software for sales operations. ""One of the best ways to prevent errors in your sales proposals is to leverage the power of the Microsoft technology for a seamless sales process. Learn how CorsPro SalesDoc Architect does it!"" SalesDoc Architect can help you automate your ability to get proposals out the door quicker. CorsPro Enables Sales Teams to: Automate the proposal generating process; Turn common sales tasks into a checklist process; Eliminate the number of keystrokes in building a quote/solution; Provide turn-key, polished proposals and scopes of work; Dramatically streamline the quoting process. Cors Productivity Solutions Inc. Reston, VA","Zombie?,maintenance mode company?,Active",https://www.corspro.com,USA,,,https://twitter.com/corspro,,,B2B,,3 March 2025
,"""CoSell, Inc."",""Cosell, Inc., a Delaware corporation, doing business as “hifive”""","CoSell cosell.io @CoSell_io Sell More, Together. Sell more with your investors, advisors, & execs. Unlock revenue through your exclusive network purpose-built for referrals & relationship-selling. Leverage your investors, advisors, customers, & internal execs to break into your key accounts. For any startup, demand generation is the oxygen that they breathe. With infinite choices, today's customers have become numb to traditional mass marketing & cold outreach. The last great opportunity to provide this needed oxygen is to empower revenue teams to build networks for relationship-selling. CoSell, Inc. Austin, Texas. Cosell, Inc., a Delaware corporation, doing business as “hifive” https://www.hf.app https://x.com/hifiveapp B2B Influencer Syndicate","Rebranding,Pivoted,Active,Leaving Sales Enablement market",https://www.hf.app,USA,SaaS,"Lead Generation,team collaboration,outreach,sales intelligence",https://x.com/hifiveapp,,5/2/2024,B2B,,3 March 2025
136,"Vista Equity Partners,""Salesloft, Inc.""","Costello andcostello.com @andCostello (Nov 4, 2019: Costello acquired by SalesLoft) A.I. powered sales co-pilot software that shows your team what questions close deals & helps them keep deals on-track. We live in an era of hypercompetition. In response, sales teams increased the volume of prospecting calls & emails to an all-time high. The result is that buyers no longer give second chances on sales calls. Costello is A.I. powered sales co-pilot software that helps sales professionals consistently have great conversations with buyers & keep deals on-track. It identifies the questions that determine whether or not you will close deals & then helps your reps beat the competition by guiding them through the critical moments in sales calls that determine whether you win or lose. $3M in estimated revenue annually & competes with Pattern, Clari, & SalesHood. Indianapolis, IN, USA. 23 Dec 2021 , Salesloft announced sales to Vista Equity Partners Achieving a $2.3 Billion Dollar Valuation.",Acquired,https://andcostello.com,USA,,,,,,,,3 March 2025
,"""count5, LLC.""","count5 count5, LLC. count5.com pivoted in 2010 & no longer a sales enablement tool. Over 95% of clients & end users are not in sales: adaptivemicrolearningplatform.com q.MINDshare (“q”): Micro-learning platform. Eliminates the forgetting curve associated with training. Sales people never read the sea of email from their boss & dozens of other resources within the company. Cuts thru the clutter to drive employee/sales alignment: Cloud platform on mobile & tablets to get the attention of staff, spoon feed high priority content, then report back if it was received & understood. Prioritize, schedule & deliver content based on business importance using a notification system. Control who gets content & the days/times it gets delivered. Knowledge Retention: Automate proven scientific methods for training reinforcement to drive faster adoption & ROI. Engage users with high priority communications & tasks, then track views, feedback & understanding. Coaching Module: Collaborative interface where managers support employees while they execute specific activities & goals. Atlanta, USA. count5 former count5.com https://www.adaptivemicrolearningplatform.com Eric Blumthal started count5 because he was a salesperson who never read the sea of email from his boss & dozens of other resources within the company. Q MINDshare™ “cuts thru” the clutter to drive employee/sales alignment: A cloud platform on PC’s, Smart Phones & Tablets to get the attention of employees, spoon feed high priority content, then report back that it was received & understood. Let’s you prioritize, schedule & deliver content based on business importance using a proprietary notification system. Control who gets content & the days/times it gets delivered. Knowledge Retention Module: Automate proven scientific methods for training reinforcement to drive faster adoption & ROI. Communications Module: Engage users with high priority communications & tasks, then track views, feedback & understanding. Coaching Module: A collaborative interface where managers support employees while they execute specific activities & goals. Atlanta headquartered, USA","Active,Pivoted,Leaving Sales Enablement market",https://www.adaptivemicrolearningplatform.com,USA,,,,,,B2B,,21 September 2024
35,Coveo Solutions Inc.,"Coveo coveo.com @coveo combines “unified search”, analytics & Machine Learning (ML) to deliver relevant information & recommendations across every business interaction. Transforms businesses by improving customer engagement & up-skilling employees by providing the best information, every time, everywhere. AI-powered Search for every Salesforce community & app. Immediate access to all the content, wherever it resides. $114M in estimated revenue annually & competes with Attivio. Québec, Canada, Coveo Solutions Inc. 15-Oct-2021: Coveo, a Relevance Platform & applied AI company that transforms digital experiences with AI-powered search, recommendations, & personalization, announced the acquisition of Qubit qubit.com @Qubit AI-powered personalization technology for merchandising teams, based in London, UK, further accelerating Coveo’s geographic expansion into the UK & European markets. New Relevance Generative Answering capability, powered by the Coveo AI platform & LLMs, solves the key challenges of applying GPT within the enterprise. MONTREAL & SAN FRANCISCO – 16-Mar-2023 – Coveo (TSX:CVO), an AI platform that makes every digital experience relevant, 1:1 personalized & profitable, announced Coveo Relevance Generative Answering. This new Generative AI question answering capability combines Large Language Models (LLMs) on top of the leading secure unified indexing capabilities of Coveo's AI platform. This makes generative answering using LLMs applicable within enterprises, where security, privacy, real-time sources of truth, relevance and factuality are all key imperatives.",Active,https://www.coveo.com/en,Canada,"SaaS,ML","Buyer Enablement,Sales Enablement",https://twitter.com/coveo,,,B2B,https://www.owler.com/company/coveo,27 July 2025
34,Covideo LLC,"Covideo covideo.com @covideo video communication solution for businesses of all sizes. Indianapolis, IN, USA. Covideo LLC",Active,covideo.com,USA,,,https://twitter.com/covideo,,,B2B,,21 September 2024
,CrankWheel ehf.,"CrankWheel crankwheel.com @crankwheel Also known as joisig. Enterprise-friendly screen sharing. Screen sharing for telesales teams. Enables unique new use cases for sales over telephone plus screen share. CrankWheel ehf. operates the http://crankwheel.com/, http://syna.is/ and http://meeting.is/ websites. Reykjavík, Iceland",Active,https://crankwheel.com,Iceland,,,https://twitter.com/crankwheel,https://www.crunchbase.com/organization/crankwheel,,,https://www.owler.com/company/crankwheel,14 September 2025
,"""Crayon, Inc.""","Crayon crayon.co @Crayon a market intelligence company helping businesses track, analyze, & act on everything outside their four walls. Keep Sales Battle cards up-to-date seamlessly by integrating them with Crayon’s continuous feed of software-driven competitive intelligence (CI). Get alerts when new intel is ready to review, always staying in sync with market movements. Access battlecards wherever your sales team spends their time - available by desktop, mobile, or directly from within Salesforce CRM. Boston, MA, USA. Crayon, Inc.",Active,https://www.crayon.co,USA,,,https://twitter.com/Crayon,,,B2B,,14 September 2025
,"CREATIO EMEA LTD,Creatio Inc.","Creatio creatio.com @Creatio_Global agentic CRM & workflow platform that has no-code & AI at its core. Offerings include Creatio Studio, a no-code agentic platform to build applications & AI agents with natural language & visual designers, & a CRM suite with embedded AI agents across Creatio Marketing, Sales, & Service: Sales platform to manage end-to-end sales cycle. Marketing platform to accelerate lead-to-revenue cycle. Service platform to delight customers & drive service excellence. Manage all customer & operational workflows via the Agentic СRM & Workflow Platform with No-Code & AI at its core. CREATIO EMEA LTD, Nicosia, Cyprus. Sydney, NSW 2000, Australia. Creatio Inc. Boston, MA, USA. London E1 6RB, UK. Integration partner/expert in Australia (Melbourne/Sydney): CRM Strategy crmstrategy.com.au Expert CRM Consulting & System Integration Services",Active,https://www.creatio.com,"UK,Australia,USA,Cyprus","no code,ML,SaaS","CRM,Agentic AI",https://x.com/Creatio_Global,,,"B2B,B2C",,22 October 2025
,,"Creative Cafe creativecafehq.com Mix-and-Match Slides for Presentation & Sharing: Creative Cafe develops sets of slide-style modular content units that sales reps can choose from as needed to easily customize documents & presentations to share with prospects in person or across digital channels. A collective of senior-level creatives with a proven track record in B2B content development & design, founded by Leslie A. Hancock, content marketing & sales enablement consultant. “One way to align Marketing & Sales is to ensure that there is content available for every stage of the sales funnel to empower salespeople to convert leads to prospects & prospects to customers. Another way to align Marketing & Sales is to cross-pollinate, with representatives from both departments periodically meeting, sharing strategies, providing real-world updates, etc.” AUSTIN, Texas Now B2B Sales Content b2bsalescontent.com MICRO-AGENCY SPECIALIZING IN DEVELOPING CONTENT FOR B2B SALES ENABLEMENT. AUSTIN, Texas","Rebranding,Out of Business",,USA,,,,,,,,27 July 2025
,"""Sependa, Inc.""","crescendo crescendoapp.com (by Sependa, Inc.) SALES ENABLEMENT & PRESENTATION APP: Customizable mobile sales tool that uses content on your Google Drive, Sharepoint, Box, Salesforce or OneDrive. Custom branded presentation app for your content. It keeps your files up-to-date in real-time as you modify resources in your company cloud storage solution. Working both online & offline, & with powerful added features, it turns into your platform mobile sales app, helping you to plan, present & organize. Sales enablement features: Interact directly with your cloud CRM. From annotating of PDFs, sharing files, advanced text search functions, text indexing & more. [Sependa is an enterprise mobile app developer building intelligent tools for the sales professional.] Oakland, CA, USA",Active,https://crescendoapp.com,USA,,,,https://www.crunchbase.com/organization/crescendoapp-com,,,,14 September 2025
,Crikle Ltd,"Crikle crikle.com https://www.crikle.com @CrikleApp remote selling platform. Make more sales: Crikle’s game-changing remote selling solution combines all your essential sales tools into a single browser screen. Web-based sales solution that combines video calling with customised sales guidance and actionable information capture, to sell quickly. High-definition presenting. Branded video meetings. Sync with CRM. Recording with time stamping. Customisable sales checklists. Shared content library. Less admin, more selling: Get your hands on this priceless time hack so your team can spend more of their time selling (remotely). Are you paying attention? When you’re too busy scribbling notes or distracted whilst switching screens, you lose that crucial face-to-face connection with your prospect. Crikle ensures you stick to the golden rule of sales – focus on the customer. Crikle Ltd. London, UK",Active,https://www.crikle.com,UK,,,https://twitter.com/crikleapp,,,B2B,,25 April 2025
,,CRM Strategy crmstrategy.com.au Expert CRM Consulting & System Integration Services. Integration partner/expert in Australia (Melbourne/Sydney) for https://www.creatio.com,Active,https://www.crmstrategy.com.au/crm-and-integrations-expert-crm-consulting-system-integration-services/,Australia,,CRM,,,,B2B,,22 October 2025
,Cronycle Ltd,"Cronycle cronycle.com @cronycle Knowledge sharing workspace to foster learning & innovation in the enterprise & for the public. Grow knowledge, expertise & authority. Discover, curate, share & act on knowledge – all in one workspace. Discover & source content to grow knowledge. Monitor your industry vertical news. Engage your organization on learning. Inform audience with newsletters. Curate for content marketing & SMM: Save time when you source, collect, organize, & share marketing curated content for your website, newsletters & social media. Save to boards to organize, make sense of & enrich content. Summarize, tag, annotate & discuss content – alone or with your team. Advanced filtering & full text search. Cronycle Ltd, London, UK",Out of Business,,UK,,,https://twitter.com/cronycle,,7/9/2024,,,7 September 2024
